SANDIAPUEB,Sandia Pueblo,35.242653,-106.524055
SANFELIPEP,San Felipe Pueblo,35.424489,-106.431878
SANILDEFON,San Ildefonso Pueblo,35.885154,-106.145701
SANMANUELR,San Manuel Reservation,34.155823,-117.219302
SANPASQUAL,San Pasqual Reservation,33.211232,-116.962734
SANTAANAPU,Santa Ana Pueblo,35.435733,-106.591780
SANTACLARA,Santa Clara Pueblo,35.976040,-106.231976
SANTAROSA2,Santa Rosa Reservation,33.555034,-116.528365
SANTAROSAR,Santa Rosa Rancheria,36.236111,-119.755133
SANTAYNEZR,Santa Ynez Reservation,34.602733,-120.091418
SANTAYSABE,Santa Ysabel Reservation,33.183700,-116.658603
SANTEERESE,Santee Reservation,42.710709,-97.821837
SANTODOMIN,Santo Domingo Pueblo,35.534142,-106.377155
SAUKSUIATT,Sauk-Suiattle Reservation,48.320199,-121.548556
SAULTSTEMA,Sault Ste. Marie Reservation,46.472698,-84.207969
SHAKOPEEMD,Shakopee Mdewakanton Sioux Community,44.753750,-93.452686
SHERWOODVA,Sherwood Valley Rancheria,39.537050,-123.488332
SHINGLESPR,Shingle Springs Rancheria,38.696728,-120.904873
SHOALWATER,Shoalwater Bay Indian Reservation,46.721463,-124.029196
SILETZRESE,Siletz Reservation,44.761694,-123.772322
SKOKOMISHR,Skokomish Reservation,47.346781,-123.173790
SKULLVALLE,Skull Valley Reservation,40.387420,-112.735813
SMITHRIVER,Smith River Rancheria,41.955404,-124.206444
SNOQUALMIE,Snoqualmie Reservation,47.519728,-121.843193
SOBOBARESE,Soboba Reservation,33.774746,-116.880517
SOKAOGONCH,Sokaogon Chippewa Community,45.491189,-88.990082
SOUTHERNUT,Southern Ute Reservation,37.113113,-107.651521
SOUTHFORKR,South Fork Reservation,40.585387,-115.609984
SPIRITLAKE,Spirit Lake Reservation,47.900943,-98.870287
SPOKANERES,Spokane Reservation,47.929355,-118.047318
SQUAXINISL,Squaxin Island Reservation,47.189940,-122.910978
